Local Authority,LSOA Name,ONS Name,LSOA Code,Child Index 2011,Income domain_Child Index 2011,Education domain_Child Index 2011,Health domain_Child Index 2011,Community Safety domain_Child Index 2011,Enviroment domain_Child Index 2011,Access to Services domain_Child Index 2011,Housing domain_Child Index 2011
Monmouthshire,Thornwell 1,008D,W01001592,28.8,34.7,35.3,27.9,17.6,28.0,19.9,9.0
Monmouthshire,Thornwell 2,008E,W01001593,16.7,16.7,21.6,5.4,8.1,25.8,29.2,8.6
Monmouthshire,Trellech United 1,007E,W01001594,12.2,4.9,4.0,1.0,0.9,7.9,71.2,5.7
Monmouthshire,Trellech United 2,007F,W01001595,8.6,2.6,1.9,2.6,0.3,10.6,51.1,0.4
Monmouthshire,Usk 1,006E,W01001596,10.0,3.7,1.2,0.3,6.2,63.2,34.1,1.2
Monmouthshire,Usk 2,006F,W01001597,9.0,1.1,0.9,3.2,3.2,46.2,36.4,7.0
Monmouthshire,West End,010F,W01001598,29.1,37.6,36.2,16.7,26.7,47.3,5.7,26.6
Monmouthshire,Wyesham,004F,W01001599,15.3,13.1,11.9,15.5,9.4,47.4,9.4,22.2
Newport,Allt-yr-yn 1,012A,W01001600,8.3,3.4,1.3,3.1,7.1,22.6,36.7,0.1
Newport,Allt-yr-yn 2,006A,W01001601,46.3,62.9,49.4,46.1,33.2,26.6,27.5,12.6
Newport,Allt-yr-yn 3,012B,W01001602,5.8,0.9,0.1,2.0,1.2,17.3,32.2,0.8
Newport,Allt-yr-yn 4,012C,W01001603,12.0,5.5,5.5,14.9,24.0,35.9,21.6,5.0
Newport,Allt-yr-yn 5,012D,W01001604,9.7,3.3,3.2,12.2,11.1,34.1,25.1,1.3
Newport,Allt-yr-yn 6,014A,W01001605,19.1,13.7,14.8,22.0,32.3,47.7,8.7,32.8
Newport,Alway 1,008A,W01001606,13.6,5.7,7.1,9.8,17.4,49.6,32.5,9.7
Newport,Alway 2,015A,W01001607,58.7,72.9,82.6,29.3,85.4,64.6,22.4,31.4
Newport,Alway 3,008B,W01001608,16.0,10.1,12.4,6.7,24.6,50.8,33.0,8.5
Newport,Alway 4,015B,W01001609,55.5,68.5,68.7,33.2,74.9,74.3,24.7,29.5
Newport,Alway 5,015C,W01001610,40.2,50.2,51.9,17.9,62.9,40.6,27.9,14.2
Newport,Alway 6,011A,W01001611,24.2,28.0,18.4,10.7,38.5,52.9,23.4,15.3
Newport,Beechwood 1,011B,W01001612,17.0,13.2,12.8,14.4,37.8,38.7,16.5,16.9
Newport,Beechwood 2,011C,W01001613,15.8,13.4,9.3,13.1,25.7,43.9,21.7,6.3
Newport,Beechwood 3,005A,W01001614,27.1,33.2,27.7,23.8,45.9,6.3,18.6,17.8
Newport,Beechwood 4,005B,W01001615,21.8,24.8,17.7,22.9,43.3,9.6,22.0,3.0
Newport,Beechwood 5,005C,W01001616,8.3,7.7,4.8,1.1,13.7,9.3,23.2,5.1
Newport,Bettws (Newport) 1,003A,W01001617,50.1,69.7,57.8,45.8,68.9,11.3,5.6,36.8
Newport,Bettws (Newport) 2,003B,W01001618,53.5,68.2,51.6,79.4,64.0,16.9,2.8,28.9
Newport,Bettws (Newport) 3,003C,W01001619,50.1,42.6,67.1,80.2,74.3,8.2,9.4,61.1
Newport,Bettws (Newport) 4,003D,W01001620,42.3,72.3,32.4,26.8,51.9,11.7,9.6,27.0
Newport,Bettws (Newport) 5,003E,W01001621,28.4,32.0,42.5,15.7,53.5,6.4,11.9,33.2
Newport,Bettws (Newport) 6,003F,W01001622,20.4,21.6,28.6,13.7,32.6,11.3,8.8,29.5
Newport,Caerleon 1,001A,W01001623,9.8,3.6,0.5,22.1,17.4,47.0,4.1,2.8
Newport,Caerleon 2,001B,W01001624,5.4,1.0,0.7,0.3,3.1,18.1,28.6,1.4
Newport,Caerleon 3,001C,W01001625,8.4,5.0,0.2,0.8,15.3,39.8,24.8,1.7
Newport,Caerleon 4,001D,W01001626,15.0,16.4,2.8,34.0,9.8,25.1,5.1,1.6
Newport,Caerleon 5,001E,W01001627,6.4,1.2,1.3,5.2,5.4,45.6,14.0,1.0
Newport,Caerleon 6,001F,W01001628,25.3,15.4,4.8,92.2,10.0,38.1,1.8,1.3
Newport,Gaer 1,017A,W01001629,19.0,12.0,12.8,39.8,16.2,46.0,15.2,1.9
Newport,Gaer 2,017B,W01001630,37.8,43.9,22.2,63.2,35.6,39.7,16.1,19.0
Newport,Gaer 3,017C,W01001631,9.9,8.9,7.2,10.2,7.5,12.9,19.2,2.6
Newport,Gaer 4,017D,W01001632,33.2,47.6,21.3,35.5,19.2,47.9,20.7,1.2
Newport,Gaer 5,019A,W01001633,41.0,57.2,44.4,24.8,39.9,52.2,14.1,26.7
Newport,Gaer 6,019B,W01001634,32.7,40.1,39.0,19.0,28.4,82.2,9.2,12.3
Newport,Graig (Newport) 1,016A,W01001635,7.5,2.1,0.3,1.5,0.5,54.0,25.2,0.3
Newport,Graig (Newport) 2,020A,W01001636,12.1,1.3,1.4,8.5,5.7,79.4,35.4,6.4
Newport,Graig (Newport) 3,016B,W01001637,13.3,10.5,2.2,8.7,13.4,71.2,19.5,2.8
Newport,Graig (Newport) 4,016C,W01001638,7.8,1.0,0.4,0.4,3.6,68.9,22.5,2.5
Newport,Langstone 1,004A,W01001639,7.5,0.4,1.4,1.7,5.8,30.2,35.8,4.3
Newport,Langstone 2,004B,W01001640,8.5,2.7,0.9,2.5,1.3,6.4,50.9,5.2
Newport,Langstone 3,004C,W01001641,8.8,2.4,1.1,8.7,5.0,7.5,45.2,0.3
Newport,Liswerry 1,013A,W01001642,34.4,40.5,23.6,22.2,49.0,91.6,13.2,33.9
Newport,Liswerry 2,013B,W01001643,47.2,63.6,40.9,27.7,58.4,97.4,8.6,40.9
Newport,Liswerry 3,013C,W01001644,31.5,32.6,27.2,13.7,48.2,98.2,12.2,42.8
Newport,Liswerry 4,015D,W01001645,31.8,31.7,26.1,19.5,32.3,85.4,22.8,45.9
Newport,Liswerry 5,015E,W01001646,61.1,68.7,50.8,88.6,59.9,100.0,20.4,12.9
Newport,Liswerry 6,015F,W01001647,12.8,7.5,4.4,8.1,4.9,94.3,10.8,10.3
Newport,Liswerry 7,015G,W01001648,24.9,25.2,12.5,23.1,33.1,99.1,8.2,14.1
Newport,Llanwern 1,004D,W01001649,18.8,15.6,12.7,6.4,4.4,43.1,52.5,11.7
Newport,Llanwern 2,004E,W01001650,24.0,27.5,33.1,26.2,17.3,7.5,9.5,24.5
Newport,Malpas 1,002A,W01001651,5.2,3.1,4.2,3.8,3.8,11.6,14.0,1.8
Newport,Malpas 2,002B,W01001652,57.1,59.5,72.9,97.4,63.6,18.1,10.4,11.5
Newport,Malpas 3,002C,W01001653,8.5,5.8,8.1,1.8,5.6,23.2,22.3,3.9
Newport,Malpas 4,002D,W01001654,10.6,9.9,12.6,12.2,11.2,20.0,4.4,7.3
Newport,Malpas 5,002E,W01001655,8.6,7.0,7.9,6.5,9.3,23.5,11.1,5.8
Newport,Marshfield 1,020B,W01001656,16.5,9.3,6.2,9.4,5.0,74.6,39.6,14.9
Newport,Marshfield 2,020C,W01001657,8.6,0.4,1.9,1.4,8.2,29.9,45.4,0.5
Newport,Marshfield 3,020D,W01001658,12.2,3.8,5.5,3.0,16.6,40.2,42.8,11.3
Newport,Pillgwenlly 1,018A,W01001659,58.6,64.2,60.6,76.6,77.2,72.3,0.2,54.6
Newport,Pillgwenlly 2,018B,W01001660,32.2,41.8,34.5,9.0,35.9,84.9,4.7,32.9
Newport,Pillgwenlly 3,018C,W01001661,70.8,97.4,77.9,62.0,57.9,83.1,4.1,55.9
Newport,Pillgwenlly 4,018D,W01001662,60.2,52.6,73.1,99.1,75.6,68.0,0.6,55.3
Newport,Ringland 1,008C,W01001663,39.9,36.5,37.3,69.7,40.7,19.2,23.3,37.2
Newport,Ringland 2,010A,W01001664,39.3,47.7,61.6,15.1,43.8,38.6,13.7,43.8
Newport,Ringland 3,008D,W01001665,27.9,30.3,18.9,35.9,20.2,35.5,28.5,15.1
Newport,Ringland 4,010B,W01001666,44.8,50.4,57.2,40.2,66.7,24.5,13.9,51.6
Newport,Ringland 5,010C,W01001667,55.2,66.9,55.4,62.7,55.3,28.7,20.8,60.6
Newport,Ringland 6,010D,W01001668,50.7,53.4,52.5,60.1,84.9,58.5,15.8,31.2
Newport,Rogerstone 1,009A,W01001669,6.7,0.0,0.0,4.0,4.1,27.0,33.3,0.5
Newport,Rogerstone 2,009B,W01001670,10.0,3.7,1.8,2.3,3.4,74.0,25.9,1.5
Newport,Rogerstone 3,016D,W01001671,24.2,21.5,15.6,22.9,23.6,76.9,23.6,17.1
Newport,Rogerstone 4,009C,W01001672,16.3,11.3,5.3,19.4,6.3,72.9,24.2,4.5
Newport,Rogerstone 5,009D,W01001673,13.8,1.1,0.6,37.5,7.2,43.4,26.5,8.8
Newport,Rogerstone 6,009E,W01001674,18.2,16.9,12.3,12.5,17.7,57.5,25.6,4.4
Newport,St. Julians 1,007A,W01001675,19.3,13.5,8.7,33.3,29.0,50.0,8.1,24.8
Newport,St. Julians 2,007B,W01001676,32.5,44.4,31.6,4.1,49.3,80.6,13.0,20.1
Newport,St. Julians 3,007C,W01001677,13.0,10.8,10.8,4.1,15.6,43.0,17.9,15.0
Newport,St. Julians 4,005D,W01001678,25.9,27.9,20.3,26.4,63.8,34.8,14.5,4.8
Newport,St. Julians 5,007D,W01001679,8.7,5.8,4.9,1.5,30.6,26.4,15.5,3.5
Newport,St. Julians 6,007E,W01001680,14.1,18.3,6.4,8.3,18.9,40.1,8.3,7.9
Newport,Shaftesbury 1,006B,W01001681,32.6,27.9,30.6,26.1,52.9,76.6,23.5,37.5
Newport,Shaftesbury 2,006C,W01001682,26.7,28.7,33.0,23.1,17.4,56.8,14.8,10.7
Newport,Shaftesbury 3,006D,W01001683,16.4,14.5,9.1,1.5,16.8,57.9,29.0,22.5
Newport,Shaftesbury 4,006E,W01001684,18.2,15.2,15.2,7.3,34.1,52.6,24.5,11.2
Newport,Stow Hill 1,014B,W01001685,32.4,29.5,31.2,30.0,75.3,55.8,7.3,43.5
Newport,Stow Hill 2,014C,W01001686,15.9,10.3,8.9,25.2,13.1,64.2,13.2,2.1
Newport,Stow Hill 3,014D,W01001687,37.8,35.3,25.4,61.3,62.7,66.7,2.9,37.6
Newport,Tredegar Park 1,019C,W01001688,35.7,38.5,38.9,34.5,27.7,93.6,4.8,26.2
Newport,Tredegar Park 2,019D,W01001689,60.4,74.9,64.2,69.9,35.5,95.8,6.6,35.4
Newport,Victoria 1,013D,W01001690,40.7,47.0,28.9,43.7,50.4,95.0,12.0,22.0
Newport,Victoria 2,011D,W01001691,35.1,29.8,16.3,75.3,58.1,58.7,6.7,16.0
Newport,Victoria 3,011E,W01001692,37.3,43.8,29.4,31.7,52.0,77.2,4.5,47.7
Newport,Victoria 4,013E,W01001693,38.5,30.4,23.4,53.0,93.6,69.2,4.8,68.7
Cardiff,Adamsdown 1,036A,W01001694,53.3,85.4,45.3,17.7,89.7,73.4,0.7,38.6
Cardiff,Adamsdown 2,036B,W01001695,58.3,92.2,55.9,30.7,21.6,62.3,9.2,77.2
Cardiff,Adamsdown 3,036C,W01001696,56.9,71.0,81.8,39.8,65.8,54.1,1.4,59.0
Cardiff,Adamsdown 4,036D,W01001697,45.1,65.4,33.9,39.2,63.1,60.8,5.9,20.6
Cardiff,Adamsdown 5,036E,W01001698,43.4,55.4,44.3,16.3,68.2,53.2,3.6,92.9
Cardiff,Butetown 1,047A,W01001699,62.2,89.1,47.2,34.6,62.1,80.2,26.6,79.8
Cardiff,Butetown 2,047B,W01001700,57.7,71.5,62.0,39.0,47.6,85.9,14.8,85.9
Cardiff,Butetown 3,047C,W01001701,42.1,43.4,52.6,29.4,20.8,81.0,28.7,50.2
Cardiff,Caerau (Cardiff) 1,045A,W01001702,26.6,36.9,34.1,13.1,39.1,12.8,3.1,32.4
Cardiff,Caerau (Cardiff) 2,045B,W01001703,43.8,55.7,51.7,48.3,37.7,15.0,6.8,48.3
Cardiff,Caerau (Cardiff) 3,041A,W01001704,55.8,75.9,60.8,48.7,97.4,9.8,1.0,59.6
Cardiff,Caerau (Cardiff) 4,045C,W01001705,44.1,78.7,46.7,9.5,33.9,10.9,13.0,39.2
Cardiff,Caerau (Cardiff) 5,041B,W01001706,23.0,22.8,13.7,21.0,41.2,64.0,2.9,37.0
Cardiff,Caerau (Cardiff) 6,041C,W01001707,40.6,44.6,50.4,50.3,65.2,16.4,0.9,41.7
Cardiff,Caerau (Cardiff) 7,045D,W01001708,45.2,49.6,35.5,75.9,73.4,13.6,3.3,46.9
Cardiff,Canton 1,040A,W01001709,25.6,21.9,17.4,54.7,29.6,35.6,0.9,23.8
Cardiff,Canton 2,040B,W01001710,22.8,22.2,26.5,28.1,29.1,29.2,1.5,30.6
Cardiff,Canton 3,040C,W01001711,28.4,31.5,44.6,9.9,28.9,53.8,1.6,44.0
Cardiff,Canton 4,040D,W01001712,14.5,16.4,17.9,4.6,25.4,29.3,0.8,22.9
Cardiff,Canton 5,040E,W01001713,19.9,20.0,14.2,12.0,33.7,55.7,0.1,48.2
Cardiff,Canton 6,035A,W01001714,7.1,1.9,2.3,2.1,10.3,50.5,15.8,1.0
Cardiff,Canton 7,035B,W01001715,8.4,6.7,5.6,2.8,15.7,22.8,13.4,10.8
Cardiff,Canton 8,035C,W01001716,13.1,7.1,4.7,12.0,22.0,73.1,13.5,5.5
Cardiff,Canton 9,035D,W01001717,20.3,18.6,23.4,23.4,15.2,36.2,8.2,26.9
Cardiff,Cathays 1,028A,W01001718,33.3,55.8,35.1,4.6,24.8,36.3,5.2,39.6
Cardiff,Cathays 2,028B,W01001719,8.1,8.1,6.4,8.6,22.5,17.9,0.2,2.0
Cardiff,Cathays 3,028C,W01001720,27.4,14.3,33.4,66.2,24.4,19.3,6.7,29.3
Cardiff,Cathays 4,032A,W01001721,9.6,4.1,11.0,15.2,8.5,14.1,5.8,25.2
Cardiff,Cathays 5,028D,W01001722,21.4,20.8,20.2,39.0,11.0,6.6,3.3,39.9
Cardiff,Cathays 6,032B,W01001723,35.6,10.4,89.7,29.2,38.1,58.1,12.6,69.4
Cardiff,Cathays 7,032C,W01001724,32.9,22.1,56.2,46.7,17.1,7.2,14.5,70.2
Cardiff,Cathays 8,032D,W01001725,25.3,28.4,47.8,20.1,12.6,9.0,16.2,6.9
Cardiff,Cathays 9,028E,W01001726,20.3,12.7,38.2,8.8,23.7,27.6,3.5,68.9
Cardiff,Creigiau/St. Fagans 1,014A,W01001727,10.0,1.1,0.6,15.0,5.0,8.2,50.1,0.7
Cardiff,Creigiau/St. Fagans 2,014B,W01001728,7.1,0.3,0.8,1.5,2.0,8.9,48.7,0.1
Cardiff,Creigiau/St. Fagans 3,014C,W01001729,9.7,1.9,3.8,11.5,9.0,14.7,39.1,2.5
Cardiff,Cyncoed 1,008A,W01001730,3.5,0.1,0.0,1.7,1.9,7.0,19.3,5.0
Cardiff,Cyncoed 2,008B,W01001731,2.9,2.2,0.3,3.9,4.5,4.5,6.8,1.1
Cardiff,Cyncoed 3,019A,W01001732,2.4,0.3,1.5,2.8,4.9,13.7,3.2,0.6
Cardiff,Cyncoed 4,019B,W01001733,4.3,6.2,1.0,0.4,7.6,6.6,5.0,6.7
Cardiff,Cyncoed 5,019C,W01001734,4.6,6.6,0.5,0.7,7.5,13.1,6.4,0.7
Cardiff,Cyncoed 6,019D,W01001735,4.2,3.2,0.1,3.7,7.8,11.5,7.7,5.6
Cardiff,Cyncoed 7,008C,W01001736,3.3,0.4,0.5,0.6,7.9,3.7,18.8,0.1
Cardiff,Ely 1,039A,W01001737,55.1,82.6,59.0,35.6,96.6,12.9,6.3,38.3
Cardiff,Ely 2,039B,W01001738,67.5,79.4,80.6,90.9,71.8,7.8,15.6,55.1
Cardiff,Ely 3,039C,W01001739,70.5,96.6,82.2,57.9,95.8,21.7,7.8,71.2
Cardiff,Ely 4,039D,W01001740,56.6,74.6,61.3,66.5,79.8,9.9,2.2,43.6
Cardiff,Ely 5,039E,W01001741,58.9,95.0,69.2,35.6,69.7,2.9,5.5,39.3
Cardiff,Ely 6,043A,W01001742,55.3,80.2,70.4,33.0,74.0,3.1,5.1,64.8
Cardiff,Ely 7,043B,W01001743,8.7,6.8,8.4,17.1,23.5,2.1,0.9,3.5
Cardiff,Ely 8,043C,W01001744,52.5,84.5,34.8,47.9,69.2,3.2,3.9,59.9
Cardiff,Ely 9,043D,W01001745,6.7,8.3,9.2,7.5,8.3,2.5,0.7,3.1
Cardiff,Ely 10,041D,W01001746,53.4,69.2,54.9,38.0,92.9,42.9,4.7,69.2
Cardiff,Fairwater (Cardiff) 1,027A,W01001747,15.4,11.9,11.9,23.0,24.3,7.8,4.2,44.8
Cardiff,Fairwater (Cardiff) 2,027B,W01001748,31.3,44.3,25.0,48.0,27.4,14.7,0.6,8.3
Cardiff,Fairwater (Cardiff) 3,027C,W01001749,21.2,31.6,26.7,12.1,37.1,6.8,3.1,6.6
Cardiff,Fairwater (Cardiff) 4,031A,W01001750,34.5,40.2,31.7,34.2,84.5,26.2,3.1,31.2
Cardiff,Fairwater (Cardiff) 5,027D,W01001751,47.6,66.5,42.1,43.3,84.0,13.5,2.1,54.5
Cardiff,Fairwater (Cardiff) 6,031B,W01001752,12.0,5.7,9.8,16.4,21.8,38.2,6.4,18.0
Cardiff,Fairwater (Cardiff) 7,031C,W01001753,35.5,52.2,43.5,14.0,37.8,13.8,12.4,41.9
Cardiff,Fairwater (Cardiff) 8,031D,W01001754,15.4,8.4,7.4,20.9,20.0,66.2,7.9,21.9
Cardiff,Gabalfa 1,025A,W01001755,6.3,4.2,2.2,3.6,8.9,32.6,0.0,21.7
Cardiff,Gabalfa 2,025B,W01001756,23.7,13.5,42.8,40.0,13.3,21.9,0.8,40.8
Cardiff,Gabalfa 3,025C,W01001757,17.3,8.0,13.1,45.5,23.7,25.8,2.3,19.3
Cardiff,Gabalfa 4,025D,W01001758,11.7,8.8,14.4,9.1,12.5,39.0,0.6,22.9
Cardiff,Grangetown 1,046A,W01001759,26.4,34.5,24.4,8.8,15.6,75.9,13.1,22.4
Cardiff,Grangetown 2,046B,W01001760,32.8,39.8,28.4,15.9,36.7,92.9,4.8,44.2
Cardiff,Grangetown 3,046C,W01001761,48.1,56.8,37.0,58.1,60.6,86.9,2.5,40.3
Cardiff,Grangetown 4,046D,W01001762,43.3,57.9,41.7,20.3,67.1,81.8,2.4,47.6
Cardiff,Grangetown 5,047D,W01001763,45.0,57.6,59.5,21.0,43.3,64.4,21.9,27.2
Cardiff,Grangetown 6,044A,W01001764,41.7,36.7,47.6,36.5,43.1,75.6,20.5,75.3
Cardiff,Grangetown 7,044B,W01001765,39.1,23.8,50.5,69.4,28.1,81.4,12.3,33.5
Cardiff,Grangetown 8,044C,W01001766,41.3,42.9,54.7,19.5,30.5,72.0,15.5,86.9
Cardiff,Grangetown 9,044D,W01001767,46.1,50.0,59.9,37.4,49.1,70.2,5.5,63.2
Cardiff,Grangetown 10,044E,W01001768,40.3,50.1,35.8,32.1,47.2,89.1,6.5,31.6
Cardiff,Heath 1,018A,W01001769,3.0,0.6,0.4,1.3,2.3,24.2,7.2,0.6
Cardiff,Heath 2,018B,W01001770,4.3,1.4,8.3,1.8,1.6,17.9,5.8,2.4
Cardiff,Heath 3,018C,W01001771,3.8,0.4,2.3,4.6,4.7,23.8,5.4,1.5
Cardiff,Heath 4,021A,W01001772,7.8,7.0,4.9,10.9,13.5,17.5,5.4,0.8
Cardiff,Heath 5,012A,W01001773,12.6,14.6,14.6,8.5,10.6,13.4,6.5,19.8
Cardiff,Heath 6,018D,W01001774,3.4,0.6,0.5,1.3,8.4,19.6,8.8,1.1
Cardiff,Heath 7,021B,W01001775,9.9,10.8,11.8,0.8,25.2,18.1,7.3,6.4
Cardiff,Heath 8,021C,W01001776,8.6,3.6,3.8,25.6,9.2,7.9,9.7,0.7
Cardiff,Lisvane 1,001A,W01001777,6.3,2.7,1.5,5.8,8.2,2.3,27.1,1.7
Cardiff,Lisvane 2,001B,W01001778,6.1,0.9,0.2,2.9,1.2,8.5,37.7,0.4
Cardiff,Llandaff 1,026A,W01001779,3.8,0.3,0.1,3.8,11.8,18.6,9.1,0.9
Cardiff,Llandaff 2,026B,W01001780,7.2,6.8,5.8,1.1,3.0,32.0,6.2,11.5
Cardiff,Llandaff 3,026C,W01001781,8.6,4.7,0.3,10.4,13.2,29.8,17.8,4.7
Cardiff,Llandaff 4,026D,W01001782,5.0,1.3,1.7,6.4,8.3,21.6,10.2,2.0
Cardiff,Llandaff 5,026E,W01001783,2.7,1.4,2.1,0.9,2.2,17.1,3.1,2.8
Cardiff,Llandaff 6,026F,W01001784,4.2,1.1,4.4,0.7,4.0,18.4,5.4,15.2
Cardiff,Llandaff North 1,023A,W01001785,43.3,53.0,54.3,35.1,48.5,36.3,13.6,39.5
Cardiff,Llandaff North 2,023B,W01001786,22.6,27.7,34.6,11.2,26.6,29.4,4.0,17.6
Cardiff,Llandaff North 3,023C,W01001787,32.6,32.6,43.2,40.7,23.9,36.7,19.1,12.5
Cardiff,Llandaff North 4,023D,W01001788,42.5,40.8,77.2,26.6,48.4,36.5,17.6,48.7
Cardiff,Llandaff North 5,023E,W01001789,12.8,12.7,13.0,7.9,24.6,20.7,7.5,17.5
Cardiff,Llandaff North 6,023F,W01001790,30.4,39.4,46.0,22.6,14.7,16.6,8.9,29.3
Cardiff,Llanishen 1,005A,W01001791,9.4,14.7,2.5,5.9,14.8,12.4,1.3,16.1
Cardiff,Llanishen 2,005B,W01001792,36.3,49.2,20.8,60.6,19.8,15.3,5.3,35.9
Cardiff,Llanishen 3,002A,W01001793,7.8,1.9,2.5,6.3,1.5,13.9,37.2,2.0
Cardiff,Llanishen 4,001C,W01001794,7.2,4.4,1.6,5.1,3.7,14.0,26.8,2.0
Cardiff,Llanishen 5,002B,W01001795,7.5,1.7,2.9,4.9,5.9,16.3,32.1,4.8
Cardiff,Llanishen 6,002C,W01001796,6.9,5.1,3.7,1.8,6.4,14.4,19.1,8.4
Cardiff,Llanishen 7,005C,W01001797,9.0,10.3,5.1,8.2,11.3,19.0,4.5,10.8
Cardiff,Llanishen 8,002D,W01001798,6.3,1.2,1.7,11.5,4.8,11.4,21.3,0.9
Cardiff,Llanishen 9,001D,W01001799,6.8,0.6,0.2,28.2,1.8,12.9,6.5,0.5
Cardiff,Llanishen 10,005D,W01001800,19.1,23.2,17.9,18.4,20.8,22.7,1.7,29.7
Cardiff,Llanishen 11,005E,W01001801,15.7,18.2,19.5,13.0,10.3,23.0,9.8,8.6
Cardiff,Llanrumney 1,007A,W01001802,23.7,17.0,22.3,49.6,45.4,16.7,2.3,21.7
Cardiff,Llanrumney 2,015A,W01001803,31.0,35.9,39.7,20.0,46.7,30.9,2.5,50.9
Cardiff,Llanrumney 3,015B,W01001804,37.9,38.3,41.4,49.3,43.6,40.5,7.1,47.2
Cardiff,Llanrumney 4,015C,W01001805,42.9,52.0,32.8,55.9,56.8,41.2,3.0,48.8
Cardiff,Llanrumney 5,015D,W01001806,21.8,13.9,17.2,39.9,34.0,54.2,2.6,23.6
Cardiff,Llanrumney 6,007B,W01001807,50.9,64.8,66.9,37.6,56.3,33.1,11.4,53.6
Cardiff,Llanrumney 7,007C,W01001808,58.5,76.6,72.0,51.3,61.3,37.1,5.7,60.9
Cardiff,Pentwyn 1,017A,W01001809,16.0,15.9,15.2,22.7,27.0,23.7,3.6,5.7
Cardiff,Pentwyn 2,017B,W01001810,40.6,56.2,46.5,41.8,57.2,21.9,1.7,11.0
Cardiff,Pentwyn 3,009A,W01001811,64.7,100.0,90.9,35.3,89.1,31.4,1.1,6.3
Cardiff,Pentwyn 4,017C,W01001812,22.1,28.6,25.7,27.7,27.2,8.0,0.8,10.3
Cardiff,Pentwyn 5,017D,W01001813,38.5,55.5,42.9,29.9,70.7,16.0,0.1,18.8
Cardiff,Pentwyn 6,017E,W01001814,18.2,16.0,10.6,33.3,18.5,14.4,0.1,49.9
Cardiff,Pentwyn 7,008D,W01001815,17.3,20.4,19.8,5.3,25.4,35.2,10.5,14.9
Cardiff,Pentwyn 8,009B,W01001816,42.2,65.8,47.9,18.9,33.4,46.4,3.8,36.6
Cardiff,Pentwyn 9,009C,W01001817,24.2,27.2,27.0,18.9,33.6,34.8,11.4,18.6
Cardiff,Pentwyn 10,009D,W01001818,25.5,32.3,18.6,30.1,27.9,40.0,6.9,12.3
Cardiff,Pentyrch 1,014D,W01001819,8.9,5.1,2.0,4.6,6.2,5.5,42.3,2.7
Cardiff,Pentyrch 2,006A,W01001820,9.1,3.5,1.0,14.2,1.9,31.9,24.6,2.9
Cardiff,Penylan 1,024A,W01001821,4.2,1.3,1.6,6.2,4.4,26.7,3.7,0.8
Cardiff,Penylan 2,029A,W01001822,12.1,15.0,3.5,2.4,12.8,51.6,9.2,11.1
Cardiff,Penylan 3,029B,W01001823,6.9,4.9,3.1,1.1,7.5,54.6,2.3,5.8
Cardiff,Penylan 4,029C,W01001824,14.5,10.7,3.6,9.5,31.9,69.4,0.3,37.5
Cardiff,Penylan 5,029D,W01001825,15.5,8.5,7.5,4.3,34.9,84.0,13.4,26.3
Cardiff,Penylan 6,024B,W01001826,10.5,5.2,3.0,31.1,9.7,29.0,1.9,4.6
Cardiff,Penylan 7,024C,W01001827,6.6,4.2,0.6,4.5,6.2,39.9,10.9,0.7
Cardiff,Penylan 8,024D,W01001828,4.6,3.1,2.9,0.8,11.1,18.6,6.2,4.8
Cardiff,Plasnewydd 1,033A,W01001829,33.1,46.3,15.2,38.1,36.0,4.3,3.3,78.3
Cardiff,Plasnewydd 2,033B,W01001830,29.3,27.5,20.4,46.4,53.1,12.3,2.7,63.8
Cardiff,Plasnewydd 3,030A,W01001831,16.4,15.7,19.6,16.4,14.5,6.2,0.8,55.4
Cardiff,Plasnewydd 4,033C,W01001832,26.8,6.9,91.6,4.8,38.1,5.4,5.0,75.9
Cardiff,Plasnewydd 5,033D,W01001833,14.7,18.8,4.8,4.3,52.6,28.2,4.6,16.0
Cardiff,Plasnewydd 6,033E,W01001834,28.9,36.2,39.5,14.9,22.9,14.1,0.7,73.1
Cardiff,Plasnewydd 7,033F,W01001835,27.2,31.1,15.3,50.4,21.4,27.8,0.3,32.2
Cardiff,Plasnewydd 8,030B,W01001836,10.9,12.2,2.1,8.3,28.4,26.6,5.0,14.2
Cardiff,Plasnewydd 9,030C,W01001837,15.4,18.1,16.0,3.6,15.0,11.8,6.8,51.4
Cardiff,Plasnewydd 10,030D,W01001838,15.6,16.2,8.2,27.3,18.2,12.8,0.2,31.0
Cardiff,Plasnewydd 11,030E,W01001839,35.0,52.9,21.5,53.6,27.2,5.6,2.7,19.4
Cardiff,Pontprennau/Old St. Mellons 1,007D,W01001840,12.9,7.4,14.9,14.8,28.5,15.8,13.0,15.8
Cardiff,Pontprennau/Old St. Mellons 2,003A,W01001841,9.7,10.5,8.6,12.8,8.8,1.8,12.9,2.0
Cardiff,Pontprennau/Old St. Mellons 3,003B,W01001842,5.0,3.0,6.7,4.9,5.8,2.7,10.5,2.4
Cardiff,Pontprennau/Old St. Mellons 4,003C,W01001843,10.2,1.8,6.6,12.4,15.0,21.4,29.6,7.8
Cardiff,Pontprennau/Old St. Mellons 5,003D,W01001844,16.7,13.1,10.6,40.7,13.0,10.3,12.8,6.1
Cardiff,Radyr 1,006B,W01001845,7.0,5.1,0.2,13.1,5.1,26.5,7.0,3.2
Cardiff,Radyr 2,006C,W01001846,8.5,3.6,1.5,6.1,3.9,37.8,24.3,7.7
Cardiff,Radyr 3,006D,W01001847,6.5,5.3,0.2,3.6,4.1,40.7,10.3,0.1
