"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000781 ","Wales ","Swansea 023B ",5,4.3,4.3,88,115,459,4.5,5.3,5.3
"W01000782 ","Wales ","Swansea 023C ",8,12.1,9.4,84,105,444,3.4,6.3,7.2
"W01000783 ","Wales ","Swansea 023D ",9,5.7,9.5,80,108,434,3.5,6.4,7.8
"W01000784 ","Wales ","Swansea 007A ",13,14.7,12.8,84,107,396,5,6.7,7.7
"W01000785 ","Wales ","Swansea 007B ",7,"*",3,85,110,455,2.8,5.3,5.1
"W01000786 ","Wales ","Swansea 007C ",8,8.5,8,87,109,391,3.9,6.5,6.8
"W01000787 ","Wales ","Swansea 016C ",15,36.9,23,81,95,312,8.3,8.5,11.5
"W01000788 ","Wales ","Swansea 016D ",19,32.9,24.4,77,95,301,5.4,8.1,11.7
"W01000789 ","Wales ","Swansea 016E ",25,41,30.2,78,96,344,4.9,8.6,12.8
"W01000790 ","Wales ","Swansea 016F ",19,46.9,31.2,81,94,357,4.3,10.1,12.8
"W01000791 ","Wales ","Swansea 004A ",8,12.5,7.7,87,109,391,2.6,5.9,7.4
"W01000792 ","Wales ","Swansea 004B ",8,8.6,7.4,88,112,381,3.3,6.3,5.8
"W01000793 ","Wales ","Swansea 004C ",5,7.6,5.4,89,106,409,0.7,6,6.1
"W01000794 ","Wales ","Swansea 010A ",11,22.3,14.7,79,101,409,3.3,7.1,7.6
"W01000795 ","Wales ","Swansea 006A ",9,4.9,5.8,87,105,427,2.9,5.6,6.1
"W01000796 ","Wales ","Swansea 006B ",9,13.9,10.7,85,100,384,4.4,6.4,7.1
"W01000797 ","Wales ","Swansea 010B ",11,9.5,10.5,82,105,441,2.4,5.8,6.4
"W01000798 ","Wales ","Swansea 010C ",16,32.5,15,82,94,369,8.3,6.9,8.8
"W01000799 ","Wales ","Swansea 010D ",20,41.7,30.8,76,91,290,3.5,8.1,13.2
"W01000800 ","Wales ","Swansea 006C ",7,9.2,6.6,85,106,446,0.7,6.6,5.5
"W01000801 ","Wales ","Swansea 006D ",22,44.9,31.6,80,94,320,9.3,8.6,10.3
"W01000802 ","Wales ","Swansea 007D ",15,26.9,18,85,105,354,6,7.1,7.5
"W01000803 ","Wales ","Swansea 002F ",13,20.1,12.9,82,101,410,6.5,7,8.2
"W01000804 ","Wales ","Swansea 028C ",7,7.3,7.7,87,115,455,2.1,5.1,7.9
"W01000805 ","Wales ","Swansea 028D ",5,2.1,3,89,115,506,3.6,5.7,5.4
"W01000806 ","Wales ","Swansea 003A ",12,25.4,16.9,85,101,386,6.4,8.1,8.8
"W01000807 ","Wales ","Swansea 003B ",7,11.8,6.4,83,101,396,3.7,6.4,6.3
"W01000808 ","Wales ","Swansea 003C ",15,12.8,11.6,90,104,446,3.9,5.9,7.8
"W01000809 ","Wales ","Swansea 008A ",13,36.3,19.9,82,99,337,7.8,7.7,10.3
"W01000810 ","Wales ","Swansea 003D ",27,47,36.8,77,90,302,6.9,10,11.9
"W01000811 ","Wales ","Swansea 008B ",20,38.6,26.5,82,96,385,4.9,7.9,10.1
"W01000812 ","Wales ","Swansea 008C ",25,49.5,34.1,77,88,346,7.8,8.4,13.9
"W01000813 ","Wales ","Swansea 008D ",10,21.6,12.6,86,102,394,2.5,7.7,8.9
"W01000814 ","Wales ","Swansea 008E ",22,40.2,30.5,80,95,354,3,8.4,11.6
"W01000815 ","Wales ","Swansea 003E ",8,11.7,7,85,105,406,1.5,6.8,7.6
"W01000816 ","Wales ","Swansea 003F ",6,9.8,7.1,86,103,407,7,6.5,6.5
"W01000817 ","Wales ","Swansea 009A ",32,65.7,44.6,80,85,250,3.7,10.2,15.1
"W01000818 ","Wales ","Swansea 009B ",20,41,27.3,83,97,351,8.3,9,11.5
"W01000819 ","Wales ","Swansea 009C ",8,14.2,7.9,86,108,464,3.9,6.1,6.4
"W01000820 ","Wales ","Swansea 009D ",14,19.7,15.2,83,96,327,3.3,7.1,8.6
"W01000821 ","Wales ","Swansea 009E ",17,27.7,18.8,80,95,326,4.8,7.1,9.9
"W01000822 ","Wales ","Swansea 009F ",13,16.6,11.4,83,100,418,2.6,7.4,8.3
"W01000823 ","Wales ","Swansea 031A ",5,5.6,4.6,91,114,477,2,5.1,5.8
"W01000824 ","Wales ","Swansea 031B ",7,5.8,7.8,90,111,514,3.3,5.1,7.4
"W01000825 ","Wales ","Swansea 031C ",8,15,11.3,87,113,395,2.7,5.6,8.9
"W01000826 ","Wales ","Swansea 031D ",8,4.5,5.3,90,116,502,5.8,5.4,5.9
"W01000827 ","Wales ","Swansea 031E ",5,9.3,7.2,86,110,457,2.5,4.8,6.3
"W01000828 ","Wales ","Swansea 018B ",9,9.9,8.4,89,109,368,2.8,5.9,6.4
"W01000829 ","Wales ","Swansea 018C ",14,19.4,15.1,82,104,363,7.8,6.8,7.3
"W01000830 ","Wales ","Swansea 011A ",32,63.2,50.7,76,86,244,9.9,10.4,15.6
"W01000831 ","Wales ","Swansea 013D ",24,41.6,33.5,77,90,273,7.3,9.6,13.1
"W01000832 ","Wales ","Swansea 011B ",36,52,42.3,76,89,242,8.3,10.2,13.7
"W01000833 ","Wales ","Swansea 011C ",35,56.9,45.2,74,90,262,9.4,9.1,13.2
"W01000834 ","Wales ","Swansea 011D ",22,54.4,37.8,73,87,256,6.6,10.8,13.1
"W01000835 ","Wales ","Swansea 013E ",23,36,30.1,79,96,280,6.4,8.5,14.4
"W01000836 ","Wales ","Swansea 011E ",25,51.3,39.2,73,87,212,6.8,9.9,14.6
"W01000837 ","Wales ","Swansea 004D ",6,4,3.7,90,111,454,4.2,6.3,5.4
"W01000838 ","Wales ","Swansea 004E ",22,44.4,29,84,94,295,6.6,10.3,10.9
"W01000839 ","Wales ","Swansea 030C ",8,4.4,6.7,87,110,430,4.3,5.3,6
"W01000840 ","Wales ","Swansea 030D ",6,1.7,3.7,85,117,498,2.2,5.5,5.5
"W01000841 ","Wales ","Swansea 005C ",16,42,22.8,80,98,331,5,8.3,8.9
"W01000842 ","Wales ","Swansea 005D ",11,10.6,10.6,81,97,341,5.9,6.1,7.3
"W01000843 ","Wales ","Swansea 005E ",11,14.8,9.4,85,101,345,5.7,7.2,7.5
"W01000844 ","Wales ","Swansea 005F ",22,32,25.4,80,95,286,2.6,8.5,10
"W01000845 ","Wales ","Swansea 001A ",10,12.9,9.5,81,107,420,2.5,6.8,6.3
"W01000846 ","Wales ","Swansea 001B ",17,23.7,20.3,80,96,419,2.5,7.7,8.3
"W01000847 ","Wales ","Swansea 001C ",16,16.8,16.7,81,101,398,7.6,7.9,6.5
"W01000848 ","Wales ","Swansea 001D ",21,50.4,30.1,82,94,326,2.5,8.6,10.3
"W01000849 ","Wales ","Swansea 021A ",24,45.1,30.8,84,92,350,5.5,8.8,11
"W01000850 ","Wales ","Swansea 021B ",19,53,29.2,83,93,357,6.6,7.8,10.7
"W01000851 ","Wales ","Swansea 021C ",20,32.3,22.8,85,99,315,7.6,9.2,11
"W01000852 ","Wales ","Swansea 021D ",15,26.2,17.4,81,101,368,10,8.9,10.8
"W01000853 ","Wales ","Swansea 022A ",8,7.4,7.3,88,109,439,3.6,5,5.6
"W01000854 ","Wales ","Swansea 022B ",7,6,6,86,115,477,5.2,5.8,6.1
"W01000855 ","Wales ","Swansea 022C ",7,13.2,8.5,83,113,429,8.3,5.7,6.6
"W01000856 ","Wales ","Swansea 022D ",32,30.3,33.4,80,104,358,4,7.8,9.7
"W01000857 ","Wales ","Swansea 022E ",14,18.3,20.5,81,109,423,5.7,6.4,6.8
"W01000858 ","Wales ","Swansea 027A ",7,6.7,7.4,86,112,444,6.2,4.9,7.2
"W01000859 ","Wales ","Swansea 027B ",11,10.5,8.2,84,116,513,3.7,4.9,4.9
"W01000860 ","Wales ","Swansea 027C ",3,5.1,3.7,89,119,511,5.9,5.4,4.9
"W01000861 ","Wales ","Swansea 027D ",3,3.8,4.9,85,105,478,7,6.1,6.5
"W01000862 ","Wales ","Swansea 019A ",37,63.5,55.4,75,85,279,11,11.1,17.1
"W01000863 ","Wales ","Swansea 019B ",35,59.2,49.3,80,86,310,8.3,9.6,12.6
"W01000864 ","Wales ","Swansea 019C ",34,62.7,50.3,72,87,267,9.4,11.8,16
"W01000865 ","Wales ","Swansea 019D ",20,42,30.1,80,92,352,5.4,10,12.8
"W01000866 ","Wales ","Swansea 019E ",28,52.9,40.7,76,88,239,7.9,10.6,14.5
"W01000867 ","Wales ","Swansea 019F ",28,53.9,41.9,74,89,235,5.1,9.8,17.5
"W01000868 ","Wales ","Swansea 024B ",7,5.7,6,81,110,398,7.3,5.9,7
"W01000869 ","Wales ","Swansea 024C ",18,17.7,17.4,81,105,410,1.7,6.4,7.6
"W01000870 ","Wales ","Swansea 024D ",9,6.7,9.1,84,121,493,4.1,6.3,5
"W01000871 ","Wales ","Swansea 026B ",17,48.4,22.5,82,94,400,3.9,10.1,10.3
"W01000872 ","Wales ","Swansea 024E ",5,7.5,6.2,85,113,458,0.7,5.9,6.3
"W01000873 ","Wales ","Swansea 026C ",9,14.2,9.5,82,120,468,4.8,5.4,6.4
"W01000874 ","Wales ","Swansea 024F ",5,15.6,9.3,85,114,431,4,5.9,6.4
"W01000875 ","Wales ","Swansea 026D ",11,23.9,13.8,82,102,428,3.2,9.9,9.9
"W01000876 ","Wales ","Swansea 026E ",5,11.4,7.1,87,108,385,8.6,6,8.9
"W01000877 ","Wales ","Swansea 007E ",11,12.2,8.8,80,108,434,4.6,6.6,6.6
"W01000878 ","Wales ","Swansea 007F ",14,16.2,12.3,80,104,336,3.4,6.4,8.3
"W01000879 ","Wales ","Swansea 029A ",7,6.1,5.8,86,115,472,2.8,5.3,6.3
"W01000880 ","Wales ","Swansea 029B ",8,4.3,6.8,86,114,437,3,6.2,6.3
"W01000881 ","Wales ","Swansea 029C ",24,34.4,27.9,77,107,373,4.6,7.2,9.3
"W01000882 ","Wales ","Swansea 029D ",18,30.5,24,79,106,383,7.6,7.1,9.5
"W01000883 ","Wales ","Neath Port Talbot 016A ",10,3.6,5.2,80,105,432,4.2,6.2,5.5
"W01000884 ","Wales ","Neath Port Talbot 017A ",26,59.3,35.5,75,91,287,5.4,10.8,10.7
"W01000885 ","Wales ","Neath Port Talbot 017B ",30,47.2,33.8,77,89,349,6.7,8.7,10.4
"W01000886 ","Wales ","Neath Port Talbot 017C ",30,68.6,42.5,79,87,243,6.7,8.6,11.7
"W01000887 ","Wales ","Neath Port Talbot 005A ",16,23.8,17.8,82,110,430,3.7,7.3,8.3
"W01000888 ","Wales ","Neath Port Talbot 004A ",13,24.2,16.7,81,106,407,4.3,7.8,6.8
"W01000889 ","Wales ","Neath Port Talbot 015A ",16,9.8,10.4,82,101,428,5.7,6.4,6.8
"W01000890 ","Wales ","Neath Port Talbot 015B ",10,9.1,5.7,86,106,462,5.3,5.4,5.7
"W01000891 ","Wales ","Neath Port Talbot 015C ",19,31.2,21.7,78,99,350,5.4,8.3,8.9
"W01000892 ","Wales ","Neath Port Talbot 015D ",13,17,11.4,85,99,402,3.2,7.1,7.7
"W01000893 ","Wales ","Neath Port Talbot 003A ",21,35.7,23.3,80,104,443,5.1,7.5,8.4
"W01000894 ","Wales ","Neath Port Talbot 013A ",16,22.4,16.2,86,100,360,3.1,6.8,6.6
"W01000895 ","Wales ","Neath Port Talbot 013B ",27,35.6,28.8,81,98,333,6.9,7.2,7.3
"W01000896 ","Wales ","Neath Port Talbot 013C ",31,67.1,45.2,77,95,288,4.5,8.4,10.1
"W01000897 ","Wales ","Neath Port Talbot 013D ",18,33.2,22.2,81,95,368,5.4,6.9,6
"W01000898 ","Wales ","Neath Port Talbot 014A ",18,23.7,16.6,80,104,425,8.6,7.1,7.9
"W01000899 ","Wales ","Neath Port Talbot 014B ",11,11,8.9,85,109,444,3.5,6.4,6.2
"W01000900 ","Wales ","Neath Port Talbot 014C ",27,42.7,31.6,81,98,402,7.6,7.8,8.9
"W01000901 ","Wales ","Neath Port Talbot 014D ",19,30.3,20.8,82,104,410,6.4,7.9,7.2
"W01000902 ","Wales ","Neath Port Talbot 006A ",12,10.1,9.1,79,109,435,7.1,6.8,7.3
"W01000903 ","Wales ","Neath Port Talbot 006B ",7,"*",4.1,90,114,450,6.4,5.5,4.9
"W01000904 ","Wales ","Neath Port Talbot 006C ",5,6.5,4.2,89,112,410,5.6,6.1,5.8
"W01000905 ","Wales ","Neath Port Talbot 006D ",14,16.7,13.3,87,107,399,3.1,5.8,6.5
"W01000906 ","Wales ","Neath Port Talbot 007A ",12,20.5,11.3,85,111,403,5,6,6
"W01000907 ","Wales ","Neath Port Talbot 007B ",20,28.1,24.5,81,102,342,9,8,10.2
"W01000908 ","Wales ","Neath Port Talbot 006E ",8,10.1,8.3,83,108,447,3.9,5.4,5.6
"W01000909 ","Wales ","Neath Port Talbot 009A ",18,19.2,16.9,71,94,358,4.8,7.9,7
"W01000910 ","Wales ","Neath Port Talbot 009B ",11,11.1,8,83,112,400,1.6,6.6,6.3
"W01000911 ","Wales ","Neath Port Talbot 009C ",10,12.7,7.7,81,109,438,0.8,7.1,5.9
"W01000912 ","Wales ","Neath Port Talbot 010A ",17,18.7,17.7,86,102,369,3.6,7.4,6.5
"W01000913 ","Wales ","Neath Port Talbot 010B ",17,24.9,16.8,82,101,335,3.2,8.4,9.8
"W01000914 ","Wales ","Neath Port Talbot 010C ",22,43,32.7,78,97,287,3.8,9.5,10.4
"W01000915 ","Wales ","Neath Port Talbot 010D ",14,20.2,13.2,79,100,319,5.3,8,9.1
"W01000916 ","Wales ","Neath Port Talbot 010E ",14,19.6,14.1,78,102,368,3.1,7.8,8.5
"W01000917 ","Wales ","Neath Port Talbot 010F ",12,12.2,11.2,85,105,377,2.8,6.4,7.1
"W01000918 ","Wales ","Neath Port Talbot 002A ",15,22.2,15.7,85,107,492,6.4,7.3,6.7
"W01000919 ","Wales ","Neath Port Talbot 020A ",19,25,17.2,82,101,428,7.1,6.7,7
"W01000920 ","Wales ","Neath Port Talbot 011A ",22,34,21.9,77,96,346,5.1,8.4,8.4
"W01000921 ","Wales ","Neath Port Talbot 011B ",39,57,43.8,79,87,292,4.1,8.8,11
"W01000922 ","Wales ","Neath Port Talbot 007C ",21,27.8,22.9,79,105,361,6.7,7.7,8.1
"W01000923 ","Wales ","Neath Port Talbot 007D ",13,17.4,10.6,80,110,382,2.6,6.9,7.8
"W01000924 ","Wales ","Neath Port Talbot 011C ",28,44.9,30.4,74,90,355,7.9,7.7,10.4
"W01000925 ","Wales ","Neath Port Talbot 003B ",25,44.4,29.7,77,98,378,8.7,7.8,10.7
"W01000926 ","Wales ","Neath Port Talbot 003C ",15,16.1,13.5,83,104,386,7.7,6.5,7.6
"W01000927 ","Wales ","Neath Port Talbot 020B ",20,25.2,19.3,84,102,352,5.2,7.7,8.2
"W01000928 ","Wales ","Neath Port Talbot 020C ",21,36,25,79,99,360,2.9,7.9,9.1
"W01000929 ","Wales ","Neath Port Talbot 020D ",22,33.3,22.7,81,96,384,10.5,8,8.6
"W01000930 ","Wales ","Neath Port Talbot 011D ",30,36.2,29.1,76,91,274,5.8,8.8,10.2
"W01000931 ","Wales ","Neath Port Talbot 020E ",20,28.6,20.6,80,97,363,4.5,7.2,8.5
"W01000932 ","Wales ","Neath Port Talbot 019A ",20,28.4,20.8,71,95,383,2.5,8.5,6.3
"W01000933 ","Wales ","Neath Port Talbot 019B ",7,12.4,8.5,80,107,448,2.8,7.2,4.8
"W01000934 ","Wales ","Neath Port Talbot 008A ",28,46,32.2,79,97,309,6.7,7.7,10.4
"W01000935 ","Wales ","Neath Port Talbot 008B ",34,50.9,33.4,75,95,339,6.6,8.6,9.7
"W01000936 ","Wales ","Neath Port Talbot 012A ",28,42.5,32.2,81,101,401,10.6,8,8
"W01000937 ","Wales ","Neath Port Talbot 013E ",29,31.8,28.4,77,99,407,5.5,8.1,8.6
"W01000938 ","Wales ","Neath Port Talbot 008C ",13,6.6,12.3,84,105,420,3.7,5.6,5.3
"W01000939 ","Wales ","Neath Port Talbot 008D ",38,34.8,35.6,76,100,350,8.3,9.6,9.6
"W01000940 ","Wales ","Neath Port Talbot 008E ",23,51.6,33.6,80,93,342,4.8,8.7,7.8
"W01000941 ","Wales ","Neath Port Talbot 012B ",23,35.4,27.5,81,97,338,3.9,7.5,9.5
"W01000942 ","Wales ","Neath Port Talbot 012C ",27,46.2,33.1,79,97,283,6.3,8.9,10.8
"W01000943 ","Wales ","Neath Port Talbot 012D ",8,7,7,81,105,410,4,6.4,5.8
"W01000944 ","Wales ","Neath Port Talbot 002B ",23,29.9,20.9,79,102,435,2.5,8.4,9.1
"W01000945 ","Wales ","Neath Port Talbot 014E ",18,21,17.5,77,89,303,3.8,8,10.3
"W01000946 ","Wales ","Neath Port Talbot 004B ",16,24.9,17.8,78,103,433,2.9,7.7,7.1
"W01000947 ","Wales ","Neath Port Talbot 004C ",21,40.3,28,82,98,355,6.4,7.3,9.4
"W01000948 ","Wales ","Neath Port Talbot 004D ",18,23.3,19.2,84,103,395,2.5,7.3,7.2
"W01000949 ","Wales ","Neath Port Talbot 018A ",13,23.1,15.2,80,101,357,"*",6.6,7.2
"W01000950 ","Wales ","Neath Port Talbot 018B ",19,33.4,21.5,81,95,367,5.9,8,9.2
"W01000951 ","Wales ","Neath Port Talbot 018C ",22,29.9,22.5,84,100,391,6.3,7.5,6.5
"W01000952 ","Wales ","Neath Port Talbot 018D ",16,21.6,16.4,82,105,444,7.7,6.6,5.8
"W01000953 ","Wales ","Neath Port Talbot 005B ",19,29.5,22.2,79,103,464,5.2,7.1,9.4
"W01000954 ","Wales ","Neath Port Talbot 005C ",14,21.7,15.9,83,103,418,9.1,7.7,8.2
"W01000955 ","Wales ","Neath Port Talbot 004E ",14,13.8,13.3,88,107,399,5.9,6.1,6.1
"W01000956 ","Wales ","Neath Port Talbot 004F ",10,5.1,6.2,90,109,409,2.6,6,6.6
"W01000957 ","Wales ","Neath Port Talbot 017D ",29,45.7,33.7,81,98,396,3.7,8.3,8.8
"W01000958 ","Wales ","Neath Port Talbot 016B ",31,53.9,39.6,76,90,316,6,10.3,10.5
"W01000959 ","Wales ","Neath Port Talbot 017E ",15,23.4,16.1,80,98,384,4.9,6.6,7.5
"W01000960 ","Wales ","Neath Port Talbot 017F ",25,40.8,27.7,75,96,342,7.6,8.6,11
"W01000961 ","Wales ","Neath Port Talbot 016C ",22,29.4,23.2,84,97,377,7.5,8.5,8.5
"W01000962 ","Wales ","Neath Port Talbot 016D ",31,55.6,39.4,76,89,306,6.9,8.7,9.4
"W01000963 ","Wales ","Neath Port Talbot 016E ",30,49.4,35.1,82,92,336,9.5,8.4,10.7
"W01000964 ","Wales ","Neath Port Talbot 016F ",31,50.6,35.2,79,91,336,6.3,8.2,9.6
"W01000965 ","Wales ","Neath Port Talbot 002C ",22,28.4,21.4,81,102,402,6.2,8.4,10.2
"W01000966 ","Wales ","Neath Port Talbot 018E ",21,31.7,22,78,99,392,4.1,7,6.3
"W01000967 ","Wales ","Neath Port Talbot 019C ",25,42.8,29.1,79,93,391,7.7,8.7,8.9
"W01000968 ","Wales ","Neath Port Talbot 019D ",20,32.2,21,80,102,372,6.1,7.4,6.9
"W01000969 ","Wales ","Neath Port Talbot 009D ",10,7.1,7.4,86,103,429,6.8,5.4,5.4
"W01000970 ","Wales ","Neath Port Talbot 005D ",14,21.7,16.6,75,98,382,7.1,6.5,8.1
"W01000971 ","Wales ","Neath Port Talbot 004G ",16,28.7,19.5,78,101,389,8.6,6.9,6.9
"W01000972 ","Wales ","Neath Port Talbot 001F ",26,31.1,23.4,80,96,381,5.4,6.7,9.6
"W01000973 ","Wales ","Neath Port Talbot 020F ",26,36.2,27.9,81,101,384,6.8,7.7,8
"W01000974 ","Wales ","Bridgend 006A ",14,22.3,14.8,84,106,420,6.9,6,8.4
"W01000975 ","Wales ","Bridgend 004A ",30,67,41.8,76,91,311,8.3,9,11.9
"W01000976 ","Wales ","Bridgend 003A ",28,31.7,26.5,80,93,270,5.1,8.6,15.2
"W01000977 ","Wales ","Bridgend 003B ",25,44.1,26.4,78,89,270,7.3,8.4,11.4
"W01000978 ","Wales ","Bridgend 004B ",19,27.7,19.7,83,103,383,6.7,7.3,8.6
"W01000979 ","Wales ","Bridgend 015A ",10,22.4,14.3,81,106,452,3.8,6.2,8.7
"W01000980 ","Wales ","Bridgend 016A ",14,23.1,16.2,81,103,388,6.8,7.2,9.7
"W01000981 ","Wales ","Bridgend 016B ",29,63.1,44.7,77,97,287,7,8.1,13.5
"W01000982 ","Wales ","Bridgend 016C ",10,17.2,12.1,82,101,396,5.1,6.9,9.2
"W01000983 ","Wales ","Bridgend 015B ",7,16.2,10.4,85,105,430,4.6,6.2,8.1
"W01000984 ","Wales ","Bridgend 016D ",9,29,15.3,87,110,464,3.2,5.8,7.3
"W01000985 ","Wales ","Bridgend 015C ",5,5.8,5.3,84,112,472,3.6,5.4,5.9
"W01000986 ","Wales ","Bridgend 007A ",11,14,11.6,85,102,375,7.7,5.9,7.2
"W01000987 ","Wales ","Bridgend 007B ",20,43.6,26.4,80,94,341,5.6,6.8,11.4
"W01000988 ","Wales ","Bridgend 017A ",6,10.6,7.5,85,107,432,4.4,5.3,6.3
"W01000989 ","Wales ","Bridgend 013A ",9,14.6,9.5,87,111,465,3.7,5.5,6
"W01000990 ","Wales ","Bridgend 017B ",28,20.7,25.9,85,94,363,4.6,6.6,8.2
"W01000991 ","Wales ","Bridgend 001A ",40,54.8,44.6,74,82,256,9.6,10.4,14.6
"W01000992 ","Wales ","Bridgend 001B ",37,49.1,37.1,76,90,283,7,7.9,11.6
"W01000993 ","Wales ","Bridgend 001C ",29,47.5,31.2,82,90,331,7.2,9.4,12.4
"W01000994 ","Wales ","Bridgend 001D ",27,39.4,27.1,77,94,363,7.5,8.1,10.5
"W01000995 ","Wales ","Bridgend 001E ",18,27.1,18.4,81,104,402,5,7.6,8.6
"W01000996 ","Wales ","Bridgend 008A ",19,25.3,20.7,83,90,386,3.4,6.5,7.8
"W01000997 ","Wales ","Bridgend 012A ",14,9.3,10.6,83,108,429,3.9,6.3,8.1
"W01000998 ","Wales ","Bridgend 011A ",5,12,5.2,86,112,411,7.1,5.7,8.2
"W01000999 ","Wales ","Bridgend 010A ",23,42.5,26.7,82,91,322,7.7,6.5,10.7
"W01001000 ","Wales ","Bridgend 010B ",14,18.7,16,80,100,410,5.4,6.5,7.9
"W01001001 ","Wales ","Bridgend 010C ",18,41.4,21.8,81,98,375,5.1,7.8,10
"W01001002 ","Wales ","Bridgend 010D ",29,49.4,39.4,79,91,298,10.2,8.7,12.1
"W01001003 ","Wales ","Bridgend 015D ",11,9.9,8.7,87,111,450,1.4,4.7,5.5
"W01001004 ","Wales ","Bridgend 009A ",21,26.1,23.3,79,96,295,5,7.2,10.1
"W01001005 ","Wales ","Bridgend 009B ",10,9.9,9.2,87,106,425,4.6,5.9,6.9
"W01001006 ","Wales ","Bridgend 009C ",7,9.8,7.5,83,106,370,5.8,5.8,7.1
"W01001007 ","Wales ","Bridgend 009D ",17,38.1,23.7,81,96,297,9.7,6.7,10.8
"W01001008 ","Wales ","Bridgend 011B ",9,7,5.9,89,109,435,4.5,5.1,7.3
"W01001009 ","Wales ","Bridgend 004C ",20,30.8,19,83,100,345,6.3,7.3,10.7
"W01001010 ","Wales ","Bridgend 012B ",15,27.4,19.1,86,96,356,3.9,6.4,9.9
"W01001011 ","Wales ","Bridgend 012C ",12,17.6,13.8,84,100,378,6.3,5.1,6.9
"W01001012 ","Wales ","Bridgend 005A ",10,14.1,10.2,87,101,403,3.6,5,7.2
"W01001013 ","Wales ","Bridgend 005B ",20,26.3,18.6,83,101,323,4.5,7.1,9.1
"W01001014 ","Wales ","Bridgend 002A ",25,41,27.7,82,100,345,5.2,7.9,11.3
"W01001015 ","Wales ","Bridgend 002B ",26,34.8,25.5,80,89,329,5.6,8,8.9
"W01001016 ","Wales ","Bridgend 005C ",19,21.3,13.9,83,99,355,7.2,7.3,8.1
"W01001017 ","Wales ","Bridgend 002C ",15,17.2,11.7,83,106,401,5.1,6.4,7.6
"W01001018 ","Wales ","Bridgend 002D ",25,35.5,22.4,84,98,360,5.3,7.9,8.9
"W01001019 ","Wales ","Bridgend 005D ",25,44.2,29.5,80,96,339,3.8,7.8,8.7
"W01001020 ","Wales ","Bridgend 002E ",26,31.5,26.1,81,91,319,5.1,7.9,12
"W01001021 ","Wales ","Bridgend 014A ",24,30.9,24.4,80,97,339,9.1,6.3,11
"W01001022 ","Wales ","Bridgend 014B ",28,61.6,37.1,77,89,334,8.1,10.2,14.9
"W01001023 ","Wales ","Bridgend 014C ",25,35.1,26.4,77,98,348,8,10,12.5
"W01001024 ","Wales ","Bridgend 003C ",22,29.3,22.6,83,92,285,7.4,9.4,11.3
"W01001025 ","Wales ","Bridgend 003D ",19,24,16.5,84,98,336,8.4,7.7,9.5
"W01001026 ","Wales ","Bridgend 012D ",24,38.6,30.6,82,95,342,5.6,6.3,9.5
"W01001027 ","Wales ","Bridgend 017C ",13,12.6,11.6,87,107,450,7,5.2,7.1
"W01001028 ","Wales ","Bridgend 014D ",13,12.2,11.2,84,104,412,5.4,5.2,6.7
"W01001029 ","Wales ","Bridgend 019A ",11,5.7,8.6,82,101,462,3.4,5.2,5.5
"W01001030 ","Wales ","Bridgend 019B ",10,14.1,11.2,87,101,452,2.2,4.9,5.3
"W01001031 ","Wales ","Bridgend 018A ",8,8.1,7.2,87,114,525,2.3,5,5.6
"W01001032 ","Wales ","Bridgend 018B ",10,15.4,10.5,86,109,491,4.5,6.2,6.3
"W01001033 ","Wales ","Bridgend 003E ",15,20.5,16.1,80,100,353,7.2,6.4,7.3
"W01001034 ","Wales ","Bridgend 003F ",24,24.1,21.5,82,99,318,8.2,7,11.1
"W01001035 ","Wales ","Bridgend 014E ",24,46.7,29.4,80,99,334,10.6,7.5,11.5
"W01001036 ","Wales ","Bridgend 017D ",7,2.2,6,89,113,472,3.3,5.1,6.8
"W01001037 ","Wales ","Bridgend 013B ",11,14.6,9.2,86,113,423,4.4,5.3,6.1
"W01001038 ","Wales ","Bridgend 011C ",13,18.9,13.8,82,102,358,5,6.4,10.3
"W01001039 ","Wales ","Bridgend 009E ",12,17.4,13.8,84,101,373,5.8,6.8,8.5
"W01001040 ","Wales ","Bridgend 009F ",12,16.5,11.7,82,103,382,7.1,6.4,9.6
"W01001041 ","Wales ","Bridgend 013C ",11,6.5,5.8,87,111,486,2.1,5.2,6.3
"W01001042 ","Wales ","Bridgend 004D ",18,26.6,20.2,82,92,298,5.4,7.5,9.5
"W01001043 ","Wales ","Bridgend 004E ",22,28.1,19,80,102,347,2.2,7.8,8.9
"W01001044 ","Wales ","Bridgend 019C ",21,24.7,24.6,80,103,412,4.6,6.1,9.2
"W01001045 ","Wales ","Bridgend 019D ",22,28.8,23.6,85,100,375,2,6.2,6.6
"W01001046 ","Wales ","Bridgend 018C ",27,19.1,21.3,87,106,358,3.6,6.1,7.3
"W01001047 ","Wales ","Bridgend 018D ",15,13.4,13.8,87,107,425,1.7,5.2,5.7
"W01001048 ","Wales ","Bridgend 008B ",10,10.8,8.8,90,102,501,3.5,6.6,7.9
