"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000142 ","Wales ","Conwy 010D ",7,2.2,5.1,89,118,490,3.5,4.9,6.2
"W01000143 ","Wales ","Conwy 007B ",19,34.7,26.7,78,102,371,6.2,6.1,9.4
"W01000144 ","Wales ","Conwy 007C ",40,44.1,43,78,105,413,9.1,6.4,11.3
"W01000145 ","Wales ","Conwy 008B ",17,31.3,25,82,107,420,9.4,7,8.6
"W01000146 ","Wales ","Conwy 001B ",18,26.1,19.9,86,103,432,5.7,6.6,8.5
"W01000147 ","Wales ","Conwy 001C ",12,23.6,16.8,87,105,360,5,5.7,7.7
"W01000148 ","Wales ","Conwy 015D ",12,29.1,21,77,98,345,5.9,6.4,9
"W01000149 ","Wales ","Conwy 005A ",22,37.3,25.9,81,96,294,7.7,8,11.2
"W01000150 ","Wales ","Conwy 005B ",11,21.2,15.8,83,98,354,5.7,7.2,9.6
"W01000151 ","Wales ","Conwy 005C ",18,40.6,28.3,79,97,325,10,7.5,9.8
"W01000152 ","Wales ","Conwy 005D ",20,18.9,19.1,83,99,384,2.6,6.6,7.9
"W01000153 ","Wales ","Conwy 009D ",11,14.1,11.1,86,109,572,4.9,4.9,6.3
"W01000154 ","Wales ","Conwy 003A ",9,12.2,10,86,116,479,2,5.8,7.1
"W01000155 ","Wales ","Conwy 004A ",12,18,14,87,110,474,5.6,4.4,6.3
"W01000156 ","Wales ","Conwy 004B ",13,14.2,15.4,92,114,398,6.7,5.4,6.8
